Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42844155,"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",Olly Moss,"=""""","=""""",5,4.47,Pottermore Publishing,Kindle Edition,333,2015,1997,,2023/12/23,,,read,,,,1,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",3,4.58,Entangled: Red Tower Books,Hardcover,517,2023,2023,,2023/12/23,,,read,,,,1,0
124943221,"King of Greed (Kings of Sin, #3)",Ana Huang,"Huang, Ana",,"=""""","=""""",4,3.92,,Kindle Edition,352,2023,2023,,2023/12/23,,,read,,,,1,0
62994279,"King of Pride (Kings of Sin, #2)",Ana Huang,"Huang, Ana",,"=""""","=""""",2,3.92,,Kindle Edition,358,2023,2023,,2023/12/23,,,read,,,,1,0
161176794,"Sable Peak (The Edens, #6)",Devney Perry,"Perry, Devney",,"=""1957376422""","=""9781957376424""",3,4.20,,Kindle Edition,343,2023,2023,,2023/12/23,,,read,,,,1,0
75579822,"Crimson River (The Edens, #5)",Devney Perry,"Perry, Devney",,"=""1957376325""","=""9781957376325""",3,4.14,Devney Perry LLC,Kindle Edition,336,2023,2023,,2023/12/23,,,read,,,,1,0
61431600,"Jasper Vale (The Edens, #4)",Devney Perry,"Perry, Devney",,"=""195737621X""","=""9781957376219""",3,4.11,,Kindle Edition,354,2023,2023,,2023/12/23,,,read,,,,1,0
59730242,"Garnet Flats (The Edens, #3)",Devney Perry,"Perry, Devney",,"=""1950692981""","=""9781950692989""",2,3.78,Devney Perry LLC,Kindle Edition,346,2022,2022,,2023/12/23,,,read,,,,1,0
59114267,"Juniper Hill (The Edens, #2)",Devney Perry,"Perry, Devney",,"=""1950692701""","=""9781950692705""",3,4.14,Devney Perry,Kindle Edition,326,2022,2022,,2023/12/23,,,read,,,,1,0
60217302,"Twisted Lies (Twisted, #4)",Ana Huang,"Huang, Ana",,"=""""","=""""",4,4.17,,Kindle Edition,530,2022,2022,,2023/12/23,,,read,,,,1,0
56688531,"Twisted Hate (Twisted, #3)",Ana Huang,"Huang, Ana",,"=""""","=""""",4,3.96,,Kindle Edition,522,2022,2022,,2023/12/23,,,read,,,,1,0
56653002,"Twisted Games (Twisted, #2)",Ana Huang,"Huang, Ana",,"=""""","=""""",3,4.09,,Kindle Edition,456,2021,2021,,2023/12/23,,,read,,,,1,0
74045390,"The Fine Print (Dreamland Billionaires, #1)",Lauren Asher,"Asher, Lauren",,"=""1737507714""","=""9781737507710""",3,3.82,Bloom Books,Paperback,448,2022,2021,,2023/12/23,,,read,,,,1,0
61681786,"Final Offer (Dreamland Billionaires, #3)",Lauren Asher,"Asher, Lauren",,"=""172827222X""","=""9781728272221""",4,4.19,Bloom Books,Paperback,583,2023,2023,,2023/12/23,,,read,,,,1,0
86767939,"Terms and Conditions  (Dreamland Billionaires, #2)",Lauren Asher,"Asher, Lauren",,"=""1737507722""","=""9781737507727""",3,4.09,,Kindle Edition,494,2022,2022,,2023/12/23,,,read,,,,1,0
55404546,Malibu Rising,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1524798657""","=""9781524798659""",5,4.03,Ballantine Books,Hardcover,369,2021,2021,,2023/12/23,,,read,,,,1,0
40597810,Daisy Jones & The Six,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1524798622""","=""9781524798628""",2,4.20,Ballantine Books,Hardcover,368,2019,2019,,2023/12/23,,,read,,,,1,0
29056083,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,"Rowling, J.K.","Jack Thorne, John Tiffany","=""0540027340""","=""9780540027347""",3,3.48,"Little, Brown",Hardcover,343,2016,2016,,2023/12/23,,,read,,,,1,0
1774836,The Palace of Illusions,Chitra Banerjee Divakaruni,"Divakaruni, Chitra Banerjee",,"=""0385515995""","=""9780385515993""",3,4.20,Doubleday,Hardcover,360,2008,2008,2024/03/22,2024/03/20,,,read,,,,1,0
57795665,The Locked Door,Freida McFadden,"McFadden, Freida",,"=""""","=""""",4,3.99,Hollywood Upstairs Press,Kindle Edition,313,2021,2021,2024/06/02,2024/05/31,,,read,,,,1,0
63945326,The Gift,Freida McFadden,"McFadden, Freida",,"=""""","=""""",3,3.23,Hollywood Upstairs Publishing,Kindle Edition,47,2022,2022,2024/05/31,2024/05/31,,,read,,,,1,0
62080187,Never Lie,Freida McFadden,"McFadden, Freida",,"=""""","=""""",4,4.09,Hollywood Upstairs Press,Kindle Edition,286,2022,2022,2024/05/31,2024/05/29,,,read,,,,1,0
2523661,The Odyssey of Homer,Elizabeth Vandiver,"Vandiver, Elizabeth",,"=""1565853180""","=""9781565853188""",0,4.45,The Great Courses ,Audio CD,12,1999,1999,,2024/05/29,to-read,to-read (#73),to-read,,,,0,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""0765387565""","=""9780765387561""",0,4.17,Tor Books,Hardcover,448,2020,2020,,2024/05/29,to-read,to-read (#72),to-read,,,,0,0
38359036,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,"Morris, Heather",,"=""006287067X""","=""9780062870674""",0,4.31,Harper,Hardcover,272,2018,2018,,2024/05/29,to-read,to-read (#71),to-read,,,,0,0
16315,Crooked House,Agatha Christie,"Christie, Agatha",,"=""031298166X""","=""9780312981662""",0,4.08,Minotaur Books,Mass Market Paperback,276,2002,1949,,2024/05/29,to-read,to-read (#70),to-read,,,,0,0
